korean,english
집사람,Wife (informal)
사업,Business
근데 ...,By the way ... (Change of subject)
잘 가!,Goodbye (very casual)
... 에서 부터,From ...
... 까지,To ...
... 몇 개 있어요?,How many ... are there?
일 인분,One serving (counter)
병,Bottle (counter)
이제,Now
지금은 두시 사십분 입니다,Now it is 2:40
올해,This year
추석,Korean Thanksgiving Day
함께,Together
가족,Family
무엇임니까?,What is it? (Formal)
무엇?,What? (Version 2)
아침,Morning / Breakfast
점심,Lunch
저녁,Evening / Dinner
밤,Night
숙제,Homework
같이 집에 가자!,Let's go home!
저는 아침에 일곱시에 일어나요,I wake up at 7 in the morning
어디에서 만날까?,Where shall we meet?
명동에서 만나자!,Let's meet at Myeondong!
순대,Korean Blood Sausage
떡볶이,Korean Rice Cakes
냉면,Korean Cold Noodles
매워서,Spicy
난 떡볶이가 좋아요!,I like Korean Rice Cakes!
저는 커피 안 좋아해!,I don't like coffee!
나는 공부를 싫어해요!,I hate studying!
조금 더 주세요!,Please give me a bit more!
조금 더 깎아 주세요!,Please give me a bit more of a discount!
너무 비싸요!,Too expensive!
조금만 / 좀,A little / A bit
오전 열시에,At 10 A.M.
토요일에,On Saturday
저는 미국에 가요!,I'm going to America!
불고기 일 인분에 얼마예요?,How much is it for one serving of Bulgogi?
팀은 뚱뚱해,Tim is fat
저는 날씬해,I am slim
주환은 귀여워,J is cute
목,Throat/Neck
커피를 마시자!,Let's drink Coffee!
머리가 아파요,My head hurts
목이 아파요,I have a sore throat
그는 커피도 좋아해요,He also likes coffee
발,Arm
다리,Leg
걱정마!,Don't worry!
배는 어때?,How is your stomach?
배는 좀 괜찮아요?,Is your stomach alright?
특히,Especially / Particularly
감기,Cold (sickness)
주사,Shot (medical)
난 특히 한국이 좋아!,I especially like Korea!
저는 특히 일본에 가고 싶어요!,I particularly want to go to Japan!
저 감기에 걸렸어요,I got a cold
어디가 아파요?,Where does it hurt?
약사,Pharmacist
약국,Pharmacy
문,Door
잠시만요!,Just a moment please!
너 때문에 난 감기가 걸려서,I caught a cold because of you
감기 때문에 저는 약국에 왔어,I came to the Pharmacy because I have a cold
이제,Now / From now on
ㅂ니다,Present Tense Verb Suffix (vowel-ending stem)
습니다,Present Tense Verb Suffix (consonant-ending stem)
ㅂ니까?,Present Tense Question Verb Suffix (vowel-ending stem)
습니까?,Present Tense Question Verb Suffix (consonant-ending stem)
어느,Which
나라,Country
가수,Singer
배우,Actor
변호사,Lawyer
너는 일본사람이 아님니다,You are not Japanese (formal)
너는 여자친구가 있습니까?,Do you have a girlfriend? (formal)
저는 중국친구가 없습니다,I don't have Chinese friends (formal)
공,Zero (Type A)
영,Zero (Type B)
전화번호,Telephone Number
극장,Theatre / Movie Theatre
약속,Appointment / Promise / Plan
명,Counter (People)
장,Counter (Flat items)
잔,"Counter (Cups, Mugs, Glasses)"
대,"Counter (Devices, Vehicles)"
두시 반에,At two thirty
역할,Role
건물,Building
먹다,To eat (V)
가다,To go (V)
오다,To come (V)
있다,To be (V)
화장실,Bathroom / Toilet
알다,To know (V)
몰르다,To not know (V)
저는 잘 몰라요!,I don't know well!
계획,Plans / Arrangement / Schedule
보다,To watch / To see / To look at (V)
마시다,To drink (V)
만나다,To meet (V)
시작하다,To start (V)
일하다,To work (V)
사랑하다,To love (V)
텔레비,TV
커요,Big
작아요,Small
나빠요,Bad
그림,Painting
얘기하다,To talk / have a conversation (V)
결혼하다,To get married (V)
사실,Actually / In fact
배우다,To learn (V)
써요,To use / to write (Present Tense)
나와요,To come out (Present Tense)
추워요,To be cold (Present Tense)
더워요,To be hot (Present Tense)
야 / 이야,To be (Intimate Politeness)
아나야,To not be (Intimate Politeness)
기억해요,To remember (Present Tense)
식당,Restaurant
요리,Cooking / Dish / Food
혹시,Maybe / Perhaps
동네,Neighbourhood / Town
가세요,To go (Honorific)
보세요,To look (Honorific)
오셔요,To come (Honorific)
마셔요,To drink (Honorific)
앉아요,To sit (Present Tense)
있으세요,To have (Honorific)
을 수 있어요,Ability to do something (Suffix)
을 수 없어요,Inability to do something (Suffix)
필요해요,To need (Present Tense)
공,Ball
치즈,Cheese
오렌지,Orange
딸,Daughter
딸기,Strawberry
혼자,Alone
딸리기,Race / Run
공원,Park
운동화,Sneakers
기,Verb Nominalisation Suffix 1
는 것,Verb Nominalisation Suffix 2
기다려요,To wait (Present Tense)
힘들어요,To be tired / to be difficult (Present Tense)
재미있어요,To be fun (Present Tense)
지 않아요,Negative Suffix (Present Tense)
골프,Golf
독서요,To read (books) (Present Tense)
낮잠,Nap
